compound	subset	sentence_type	expected_item	sequence_caption1	sequence_caption2	image1_name	image1_caption	image2_name	image2_caption	image3_name	image3_caption	image4_name	image4_caption
cold turkey	Extended Evaluation			The image shows an illustration of a turkey. It's a stylized, cartoon-like depiction with exaggerated features such as large eyes and a somewhat surprised or curious expression. The turkey is standing on a snowy surface with snowflakes falling around it, and there are a few small orange objects on the ground, which could be berries or some other type of food. The turkey's feathers are detailed, with a mix of brown and black colors, and it has a prominent wattle under its beak. 	The image depicts an animated scene where a young boy is running towards a turkey with a large axe in his hand. The turkey is in mid-flight, with its wings spread wide, and appears to be in a state of panic or fear. The boy is wearing a winter hat and a scarf, suggesting a cold season, and he seems to be chasing the turkey. There are also snowflakes falling in the background, which adds to the wintry atmosphere of the scene. The image is stylized and cartoonish, with exaggerated features and a playful tone. 	12763125795.png	The image shows a stylized, cartoon-like depiction of a cozy cabin scene. There is a stone fireplace with a fire burning, and above it, there's a chimney made of stacked stones. To the left of the fireplace, there's a small wooden stool with a cushion on it. On the right side of the fireplace, there's a wooden bucket filled with firewood, and a pair of binoculars resting on top. Above the fireplace, there are two candles with flames, and to the left, there's a small wooden shelf with a few items on it, including a book, a mug, and a small plant. The overall scene suggests a warm and inviting cabin setting, possibly in a forest or mountainous area. 	71622411240.png	The image shows a stylized illustration of a man sitting at a table. He has a beard and mustache, and is wearing glasses and a plaid shirt. The man appears to be smiling and is holding a glass of water. The background is minimal, with a simple white wall, suggesting a focus on the character. The style of the illustration is cartoonish and appears to be designed for a friendly and approachable look. 	78989815883.png	The image shows an animated character, a young boy, who appears to be in the process of chopping a log with an axe. The boy is wearing a winter hat and a scarf, suggesting it might be cold outside. The scene is set against a white background, which highlights the action and the character's attire. The boy's expression is one of concentration or determination, and there are leaves scattered around, indicating that the action might be taking place outdoors, possibly during the fall season. 	92403219015.png	The image shows an animated scene featuring a turkey standing in front of a stone fireplace with a fire burning inside. The fireplace is topped with a chimney and has a rustic, cozy appearance. There are also autumn leaves scattered around the base of the fireplace, and a pumpkin with a carved face is placed to the right. The overall setting suggests a festive autumn or winter scene, possibly related to Thanksgiving or Halloween, given the presence of the pumpkin. 
seal of approval	Extended Evaluation			The image shows an animated illustration of a woman wearing glasses and a white lab coat, sitting at a lab bench. She appears to be engaged in scientific research, as indicated by the presence of a microscope, test tubes, and various lab equipment. The woman is smiling and seems to be enjoying her work. 	The image shows an animated character of a female doctor. She is wearing a white lab coat, which is a common attire for medical professionals, and has a stethoscope around her neck. The character is standing behind a desk with a beaker on it, suggesting she might be in a laboratory or a medical setting. She appears to be engaged in a conversation or explaining something, as indicated by her gesturing hands. 	06557123216.png	The image shows a stylized, cartoon-like depiction of a seal. It has a simplified, smooth appearance with exaggerated features such as large eyes and a friendly expression. The seal is shown with its flippers raised, giving a thumbs-up gesture. 	56984725371.png	The image shows an illustration of two women in a laboratory setting. The woman in the foreground is wearing glasses, a white lab coat, and is seated at a desk with a microscope and various lab equipment. She appears to be deep in thought or possibly puzzled by something. The other woman, standing behind her, is also wearing glasses and a lab coat, and she is holding a clipboard and a pen, suggesting she might be taking notes or overseeing the work. The overall scene suggests a scientific or research environment. 	94141233306.png	The image shows an illustration of a woman wearing glasses and a white lab coat. She has brown hair tied up in a bun and is wearing an orange shirt. The woman is holding her chin, suggesting she is deep in thought or contemplation. There is a thought bubble above her head with a mouse inside, which could imply she is thinking about or considering the mouse. The overall impression is that of a scientist or researcher, possibly in a field related to animals or biology. 	94776854361.png	The image shows a 3D rendering of a female character who appears to be a scientist or a professional in a field that requires a lab coat. She is wearing glasses, a white lab coat, and white gloves. The character is holding a tablet with a certificate or award on it, which includes a trophy and some text that is not fully legible. The overall impression is that of a professional achievement or recognition. 
best man	Extended Evaluation			The image shows a stylized illustration of four male figures in a race. They are depicted in a simplified, cartoon-like style, with exaggerated features and expressions. Each figure is in a different stage of running, with the first one in the lead, the second one in the middle, and the third one trailing behind. The fourth figure is at the back of the race, looking back with a surprised or shocked expression. The background is plain white, which puts the focus on the characters and their actions. 	The image shows an illustration of a male athlete in mid-run. He is wearing a sleeveless top, shorts, and running shoes. The athlete is depicted with a determined expression and is holding onto a ribbon or tape, which is often associated with a finish line in a race. The background features a green, grassy area, suggesting that the run is taking place outdoors. 	28367529031.png	The image shows an animated character, a young man with short hair, who is holding a large hamburger with a big bite taken out of it. He appears to be enjoying his meal, as indicated by his smile. There are also some fries on the table in front of him. The style of the image is cartoonish and colorful, suggesting it might be from a children's show or a similar type of animation. 	39228441010.png	The image shows a stylized illustration of a person sitting on a couch with a gaming setup. The person is holding a game controller and appears to be engaged in playing a video game. The setup includes a monitor displaying a game, a keyboard, and a mouse, suggesting a home gaming environment. The illustration is done in a flat, cartoon-like style with a limited color palette. 	64144797156.png	The image shows an animated character, a young man, who appears to be a skateboarder. He is standing on a ramp with his arms raised in a celebratory or triumphant pose, holding a gold medal. The background suggests an urban setting with skyscrapers, and there are clouds in the sky. The overall impression is that the character has won a skateboarding competition or achieved a significant accomplishment in the sport. 	78285963827.png	The image shows an illustration of a bride and groom at what appears to be a wedding ceremony. The bride is wearing a white wedding dress and a veil, while the groom is dressed in a suit with a bow tie and a boutonniere. They are holding a small box, which could be a wedding ring box, and are smiling at each other. The couple is standing in front of a simple backdrop, and the overall scene conveys a joyful and celebratory moment. 
new blood	Extended Evaluation			The image shows a stylized illustration of an older man wearing a cap with a logo on it. He appears to be in a contemplative or thoughtful pose, with his hand resting on his chin. The man is depicted with a somewhat weathered look, suggesting he might be a worker or someone who has spent a lot of time outdoors. The artwork has a realistic style with attention to detail, particularly in the textures of the clothing and the skin. 	The image shows an illustration of a man lying in a hospital bed. He is wearing a cap and has an IV drip attached to his arm. The man appears to be in a state of rest or possibly discomfort, as suggested by his facial expression. The image is stylized and does not depict a real person. 	15780935607.png	The image shows a stylized illustration of a person wearing a cap with a patch on the front, and a shirt with a collar. The person appears to be middle-aged with graying hair and a serious expression. The cap has a design that resembles a wolf's head, and the shirt has a patch on the left side of the chest, which could be a logo or emblem. The overall style of the illustration is realistic with a touch of artistic stylization. 	49244959453.png	The image shows a 3D rendering of a hospital bed. The bed is equipped with a medical monitor on the side, which is likely used for patient monitoring. The bed also has wheels for mobility, and there is a red cross symbol on the side, which is commonly associated with medical care and first aid. The bed is designed to be sturdy and functional, with a simple and clean aesthetic. 	63866568374.png	The image shows a cartoon illustration of four animated characters sitting around a conference table. They appear to be engaged in a business meeting or presentation. The table has a large screen displaying various graphs and charts, which suggests that the meeting is related to financial data or performance metrics. The characters are dressed in business attire, and one of them is holding a cup, possibly indicating a casual or relaxed atmosphere despite the formal setting. The overall scene is a stylized representation of a corporate or business environment. 	77443925799.png	The image shows an illustration of a man sitting in a hospital bed. He is wearing a cap with an orange cross, which is commonly associated with medical or healthcare settings. The man appears to be in a relaxed or resting position, with a pillow behind him and his arms resting on the bed's railing. There is a medical device, possibly an IV drip, attached to his arm, suggesting that he may be receiving medical treatment or monitoring. The overall setting suggests a hospital environment. 
ancient history	Extended Evaluation			The image shows a diorama or model depicting a scene that appears to be inspired by ancient Egyptian art. There are figures that resemble workers or artisans engaged in what looks like the construction or maintenance of a monument or structure. The figures are dressed in clothing that suggests a historical or cultural context, possibly representing the workforce of ancient Egypt. The scene includes elements such as a large stone or monument, a figure that could be a deity or a pharaoh, and various tools and materials that might be used in such a setting. The overall composition and the style of the figures and the environment suggest a high level of craftsmanship and attention to detail. 	The image shows an illustration of an archaeologist or an ancient scribe working on a clay tablet. The person is depicted with a stylus in their hand, which they are using to inscribe symbols or writing on the tablet. The tablet appears to be a representation of a historical artifact, possibly from ancient Mesopotamia or a similar civilization, given the style of the writing and the attire of the person. The background is minimalistic, focusing attention on the activity of writing or inscribing. 	25227500190.png	The image shows two animated characters sitting in chairs facing each other. The character on the left is wearing a red top and has dark hair, while the character on the right has gray hair and is wearing an orange top with a white collar. Both characters appear to be engaged in a conversation or interaction, as suggested by their body language and the presence of a smartphone in the character's hand on the left. The setting is minimalistic, with a plain background that focuses attention on the characters. 	37832288179.png	The image shows a person taking a photograph of an ancient-looking stone structure. The structure appears to be a large stone with hieroglyphics or inscriptions on it, which could suggest it is a historical or archaeological site. The person is kneeling down to get a better angle for the photograph, and they are wearing a hard hat, which is often worn in construction or archaeological sites for safety. The surrounding area is littered with broken stone pieces, indicating that the site may be in a state of disrepair or that some work has been done on it. 	38430415861.png	The image shows a group of cartoon characters dressed in construction worker outfits, including hard hats and work gloves. They are engaged in various tasks related to landscaping or construction, such as digging, planting, and using tools like shovels and brooms. The setting appears to be a sidewalk or pathway with trees and plants, suggesting they might be working on a public space or a landscaping project. The characters are depicted in a friendly and approachable manner, which is typical for cartoon illustrations. 	82556182083.png	The image shows an artist painting a picture. The artist is using a brush to apply paint to a canvas, which is placed on an easel. The painting being created depicts a colorful scene with a building, trees, and a sky with clouds and birds. The artist appears to be focused on the task at hand, and the overall atmosphere of the image suggests a calm and creative environment. 
agony aunt	Extended Evaluation			The image shows an illustration of a woman sitting at a desk with her head resting on her hand. She appears to be deep in thought or possibly tired. The desk is cluttered with various items, including papers, pens, a notebook, and a pair of glasses. There are also some personal items like a wallet and a pair of earrings. The background features a bulletin board with several notes pinned to it, suggesting that the woman might be involved in some sort of work or study that requires organization and note-taking. The overall scene conveys a sense of intellectual or creative work. 	The image shows an illustration of an older woman sitting at a desk with a computer monitor in front of her. She is wearing glasses and has short gray hair. The woman appears to be engaged in work or browsing on the computer, as suggested by her focused expression and the position of her hands on the keyboard. There are also some books and what looks like a pen holder on the desk, indicating a workspace environment. 	35667891798.png	The image shows an animated character of an older woman with gray hair. She is wearing glasses and has a big smile on her face. She is holding a tennis racket with both hands, suggesting she might be playing tennis or preparing to play. The character is depicted in a stylized manner, with exaggerated features that are common in animated illustrations. 	70175375705.png	The image shows a stylized, animated character of a woman. She has dark hair, is wearing a black top, and has a watch on her left wrist. The character is standing in front of a rock with some grass or straw on it. The background is plain and white, which highlights the character. The style of the image is reminiscent of a cartoon or a digital illustration. 	87642380839.png	The image shows an animated character of an older woman with gray hair, wearing glasses and a brown shirt. She appears to be in a state of surprise or shock, as indicated by her wide-open eyes and the expression on her face. The background suggests she is in a bedroom, with a pillow and a headboard visible. 	89158189228.png	The image shows an illustration of a woman sitting and reading a book. She has dark hair and is wearing a sleeveless top. The background has a textured appearance, possibly suggesting a casual or relaxed setting. The woman appears to be engaged in her reading, with a focused expression on her face. 
open goal	Extended Evaluation			The image shows an illustration of a soccer player on a field. The player is wearing a white jersey with the number 00 on the back, black shorts with orange stripes, and orange socks. He is standing next to a soccer ball, which is black and white, and appears to be in a ready stance, possibly preparing to kick the ball. The background suggests a soccer stadium with a goal post visible. 	The image shows a person's leg and foot, wearing an orange sock and a black and white soccer cleat, standing next to a soccer ball on a grassy surface. The person appears to be a soccer player, and the image is likely meant to represent a moment of preparation or action during a soccer game. 	23473954124.png	The image shows a soccer ball hanging in the air in front of a soccer goal net. The ball is positioned in the center of the goal, suggesting it has been kicked and is now suspended in mid-air. The background is a blurred outdoor setting, likely a soccer field, with trees and a grassy area visible. 	26271489284.png	"The image shows two animated characters shaking hands. The character on the left is wearing an orange soccer jersey with a logo on the left chest area, black shorts with a logo on the right thigh, and orange socks with black cleats. The character on the right is wearing a white soccer jersey with the number ""83"" on the right chest area, black shorts with a logo on the left thigh, and orange socks with black cleats. Both characters are wearing shin guards and have a friendly expression on their faces. "	44491583065.png	The image shows an illustration of a man and a woman sitting across from each other at a chessboard. They are shaking hands over the chessboard, which is set up for a game. The man is on the left side of the chessboard, and the woman is on the right. They are both dressed in business attire, suggesting a formal or professional setting. The illustration is stylized and appears to be a digital artwork. 	45307128647.png	The image shows a close-up of a grassy field with a variety of flowers. There are white flowers with yellow centers, which could be daisies, and black flowers with orange centers, which might be marigolds. The grass is a vibrant green, and the overall scene is a serene and colorful representation of a meadow or garden. 
white whale	Extended Evaluation			The image shows an animated character, a young man, sitting at a desk with a thoughtful expression. He is wearing a brown jacket and black pants, and his feet are resting on the desk. Above his head, there is a speech bubble with a cloud and a car, suggesting that he is thinking about or dreaming of a car. The overall style of the image is cartoonish and whimsical. 	The image shows an illustration of a man sitting at a table and drawing on a piece of paper. He appears to be working on a design or a sketch, possibly related to a car or a vehicle, as there are various car-related elements on the paper, such as wheels, tires, and other automotive parts. The man is using a pencil to draw, and there are other drawing tools and a small car model on the table. The setting suggests a creative or design-related activity. 	20102816928.png	The image shows a group of four animated characters standing on a pier or dock. They appear to be celebrating or cheering, with their arms raised in the air. The background is a simple, flat depiction of water, suggesting that the pier is located near a body of water. The characters are stylized with a limited color palette, and the overall scene is cartoonish and cheerful. 	47241906887.png	The image shows an animated character, a young boy, sitting at a desk with a pencil and a small container of what appears to be chalk or crayons. He is wearing an orange shirt and has a thoughtful expression on his face. Above his head, there is a thought bubble with a ship inside it, suggesting that he is thinking about or daydreaming about sailing or ships. The background is plain white, which puts the focus on the character and his thought bubble. 	47359559316.png	The image shows a stylized illustration of a man standing next to a futuristic-looking car. The car has a sleek design with a prominent front and a streamlined body, suggesting it might be an electric or concept vehicle. The man is dressed in a casual shirt and pants, and he appears to be smiling, giving the impression of confidence or pride in the vehicle. The background is plain and white, which puts the focus on the man and the car. 	53326497268.png	The image shows an illustration of a man with a stylized appearance, looking to the side. He has short hair and is wearing a brown shirt. Behind him, there are two stylized fish, one orange and black and the other black and white. The fish are depicted with a simplistic design, and the overall style of the image is cartoonish and graphic. 
bad apple	Extended Evaluation			The image shows a stylized illustration of an apple with a bite taken out of it, lying on a surface with some crumbs around it. There's also a whole apple with a stem and a leaf on top, positioned slightly behind the bitten apple. The illustration has a playful and cartoonish style, with a limited color palette and a somewhat exaggerated depiction of the apple's texture and the crumbs. 	The image shows a hand holding an apple with a bite taken out of it. The apple has a texture that resembles a pockmarked surface, and there appears to be a small creature, possibly a bug or a worm, crawling out of the bite. The background is plain and does not provide any additional context. The image is stylized with a cartoon-like quality. 	30062320079.png	The image shows an animated character, a young man with brown hair, standing next to a trash can. The trash can is overflowing with what appears to be broken pieces of a red apple, suggesting that the apple has been smashed or shattered. The character is holding his hand out as if he is about to catch or pick up one of the apple pieces. The scene is stylized and cartoonish, with exaggerated features and a limited color palette. 	34535761792.png	The image shows a group of animated characters that appear to be in a state of distress or chaos. They are depicted with exaggerated expressions and body language, suggesting a scene of panic or fear. The characters are styled in a cartoonish manner, with a limited color palette that gives the image a somewhat muted and gritty look. The background has splatter effects that add to the sense of disarray. The characters are not clearly identifiable, but they seem to be in a room with a desk and a chair, which might suggest a home or office setting. 	93706246943.png	The image shows a stylized illustration of a person with a somewhat exaggerated facial expression, holding an apple in their hand. The person appears to be a young male with short hair, and the apple is depicted with a glossy texture, suggesting it might be fresh or ripe. The style of the illustration is cartoonish and simplistic, with a focus on the character's face and the apple. 	98819333672.png	The image shows an animated character, a young boy, who appears to be excited or surprised. He is standing next to a black bucket that is overflowing with bananas. The bananas are falling out of the bucket, creating a sense of motion and chaos. The boy is smiling and has his arms outstretched, as if he is trying to catch the bananas or is simply enjoying the moment. The overall scene is playful and whimsical. 
guinea pig	Extended Evaluation			The image shows an animated character, a man with glasses, a beard, and a mustache. He is wearing a plaid shirt and is walking past a window displaying a plant. The character has a contemplative or thoughtful expression on his face. 	The image shows an animated character, a man with a beard and glasses, who appears to be in a state of shock or surprise. He is holding a syringe with an orange needle, which is typically used for injections. The character's expression and the context of the syringe suggest that he might be reacting to a sudden or unexpected event, possibly related to the syringe. 	03300420613.png	The image shows an animated character, a man with a beard and glasses, holding a dartboard. He appears to be in the middle of a dart-throwing motion, as if he has just thrown a dart. The character is wearing a plaid shirt and seems to be in a casual, relaxed pose. The dartboard has the traditional numbering around the edges, and there's a dart with a red tip in the center, indicating the current position of the dart. 	08344844980.png	The image shows a stylized animated character that appears to be a wizard or a magical figure. The character has a long white beard, a pointed wizard's hat with a leaf pattern, and is wearing a brown robe with a leaf design on the chest. The character also has a staff with a leaf at the top, suggesting a connection to nature or the fall season. The overall design is whimsical and cartoonish, with a friendly and approachable appearance. 	11601631055.png	The image shows a stylized, animated depiction of a capybara. It's a cute, cartoon-like representation of the animal, with exaggerated features such as large eyes and a fluffy coat. The capybara is standing in a field of green grass, and there's a blurred background that suggests a peaceful, natural setting. 	19758261729.png	The image shows a stylized, cartoon-like illustration of a man with a beard and mustache. He has glasses and a blue color on his face, which could be interpreted as a mask or a stylized feature. He is wearing a plaid shirt and has a somewhat surprised or contemplative expression. The artwork has a playful and artistic quality to it. 
